player_name,team,position,nil_standard_value,source_url,name_key,team_key
Bear Alexander,Oregon,DT,1500000,https://thenilstandard.com/football/players/bear-alexander,bearalexander,oregon
Princewill Umanmielen,LSU,EDGE,1500000,https://thenilstandard.com/football/players/princewill-umanmielen,princewillumanmielen,lsu
Duce Robinson,Florida State,WR,1500000,https://thenilstandard.com/football/players/duce-robinson,ducerobinson,floridastate
Ahmad Moten Sr.,Miami,DT,1500000,https://thenilstandard.com/football/players/ahmad-moten-sr,ahmadmoten,miami
Ryan Wingo,Texas,WR,1500000,https://thenilstandard.com/football/players/ryan-wingo,ryanwingo,texas
Avery Johnson,Kansas State,QB,1500000,https://thenilstandard.com/football/players/avery-johnson,averyjohnson,kansasstate
Dylan Raiola,Oregon,QB,1500000,https://thenilstandard.com/football/players/dylan-raiola,dylanraiola,oregon
Carter Smith,Wisconsin,QB,1500000,https://thenilstandard.com/football/players/carter-smith-wisconsin,cartersmith,wisconsin
Teitum Tuioti,Oregon,EDGE,1500000,https://thenilstandard.com/football/players/teitum-tuioti,teitumtuioti,oregon
Adam Trick,Texas Tech,EDGE,1465842,https://thenilstandard.com/football/players/adam-trick,adamtrick,texastech
Trey White,Texas Tech,EDGE,1465100,https://thenilstandard.com/football/players/trey-white,treywhite,texastech
Wilkin Formby,Texas A&M,OT,1442128,https://thenilstandard.com/football/players/wilkin-formby,wilkinformby,texasam
Ryan Browne,Purdue,QB,1439185,https://thenilstandard.com/football/players/ryan-browne,ryanbrowne,purdue
Keelon Russell,Alabama,QB,1400000,https://thenilstandard.com/football/players/keelon-russell,keelonrussell,alabama
Drake Lindsey,Minnesota,QB,1354157,https://thenilstandard.com/football/players/drake-lindsey,drakelindsey,minnesota
Xavier Chaplin,Florida State,OT,1328000,https://thenilstandard.com/football/players/xavier-chaplin,xavierchaplin,floridastate
Drew Terrill,Houston,OT,1324800,https://thenilstandard.com/football/players/drew-terrill,drewterrill,houston
Melvin Siani,Texas,OT,1321752,https://thenilstandard.com/football/players/melvin-siani,melvinsiani,texas
Matthew McCoy,Miami,OT,1320000,https://thenilstandard.com/football/players/matthew-mccoy,matthewmccoy,miami
